id,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,number_of_reviews_ltm,host_is_superhost,accommodates,bedrooms,beds,review_scores_rating,instant_bookable,log_price
524676,Centro Storico,43.7678,11.25149,Entire home/apt,107.0,453,51,t,2.0,1.0,1.0,4.82,t,4.672828834461906
526143,Centro Storico,43.77441,11.24667,Entire home/apt,90.0,93,6,t,2.0,1.0,1.0,4.88,t,4.499809670330265
527603,Centro Storico,43.77079,11.25723,Entire home/apt,118.0,149,55,f,4.0,1.0,1.0,4.78,t,4.770684624465665
540037,Campo di Marte,43.795,11.27532,Private room,78.0,70,0,f,2.0,1.0,1.0,4.68,f,4.356708826689592
540731,Centro Storico,43.77318,11.25748,Entire home/apt,297.0,651,40,t,4.0,1.0,1.0,4.77,t,5.6937321388027
546005,Centro Storico,43.76626,11.2523,Entire home/apt,78.0,128,10,t,4.0,1.0,2.0,4.76,f,4.356708826689592
550130,Centro Storico,43.76944,11.25912,Entire home/apt,91.0,45,0,f,4.0,1.0,1.0,4.16,t,4.51085950651685
567087,Centro Storico,43.76934,11.25833,Entire home/apt,95.0,69,8,f,5.0,1.0,3.0,4.22,t,4.553876891600541
574603,Centro Storico,43.76781,11.24412,Entire home/apt,114.0,677,59,t,5.0,1.0,2.0,4.92,t,4.736198448394496
579838,Centro Storico,43.7704,11.26296,Entire home/apt,104.0,397,6,t,4.0,1.0,2.0,4.69,t,4.6443908991413725
584756,Centro Storico,43.76356,11.24366,Entire home/apt,475.0,145,3,f,2.0,1.0,1.0,4.89,f,6.163314804034641
585780,Centro Storico,43.76659,11.24675,Entire home/apt,105.0,233,12,t,1.0,1.0,1.0,4.84,f,4.653960350157523
588021,Centro Storico,43.77168,11.25272,Private room,159.0,769,46,t,2.0,1.0,1.0,4.85,f,5.0689042022202315
610985,Centro Storico,43.77911,11.26376,Entire home/apt,95.0,250,17,f,4.0,2.0,3.0,4.78,t,4.553876891600541
611294,Centro Storico,43.77278,11.24895,Entire home/apt,327.0,343,28,f,8.0,2.0,8.0,4.75,t,5.7899601708972535
614736,Centro Storico,43.76905,11.25968,Entire home/apt,73.0,135,12,f,2.0,1.0,1.0,4.71,f,4.290459441148391
614820,Centro Storico,43.77924,11.2399,Entire home/apt,92.0,420,41,t,3.0,1.0,2.0,4.91,t,4.5217885770490405
620555,Centro Storico,43.76713,11.23977,Entire home/apt,150.0,374,27,t,5.0,3.0,4.0,4.94,f,5.0106352940962555
628637,Centro Storico,43.7676,11.25214,Entire home/apt,142.0,82,5,f,3.0,0.0,2.0,4.78,t,4.955827057601261
640000,Centro Storico,43.76697,11.24654,Entire home/apt,850.0,48,12,f,5.0,3.0,4.0,4.64,t,6.745236349484363
641607,Centro Storico,43.77971,11.25633,Entire home/apt,157.0,103,0,f,6.0,3.0,6.0,4.79,t,5.056245805348308
650750,Centro Storico,43.77941,11.25728,Private room,97.0,487,18,t,2.0,1.0,1.0,4.81,t,4.574710978503383
659622,Centro Storico,43.77926,11.25767,Entire home/apt,74.0,114,6,f,2.0,1.0,1.0,4.54,f,4.30406509320417
661521,Centro Storico,43.770243184337794,11.25558623176342,Entire home/apt,288.0,494,21,t,4.0,2.0,3.0,4.92,f,5.662960480135946
664772,Centro Storico,43.7684,11.24625,Entire home/apt,98.0,728,66,,2.0,1.0,1.0,4.6,t,4.584967478670572
667020,Rifredi,43.79349,11.23959,Entire home/apt,68.0,99,0,f,4.0,1.0,2.0,4.9,f,4.219507705176107
672264,Centro Storico,43.77398,11.26274,Entire home/apt,77.0,54,0,f,3.0,0.0,2.0,4.56,f,4.343805421853684
673933,Centro Storico,43.76918,11.26233,Entire home/apt,133.0,80,6,t,2.0,1.0,1.0,4.76,f,4.890349128221754
674971,Gavinana Galluzzo,43.75589,11.27877,Entire home/apt,1080.0,47,1,t,12.0,5.0,6.0,4.7,f,6.984716320118266
676837,Centro Storico,43.77109,11.25798,Entire home/apt,111.0,20,1,f,3.0,1.0,2.0,4.55,f,4.709530201312334
677061,Campo di Marte,43.77983,11.27823,Private room,90.0,10,1,f,1.0,1.0,1.0,4.9,t,4.499809670330265
702138,Campo di Marte,43.77502,11.28661,Entire home/apt,120.0,146,1,f,5.0,3.0,4.0,4.67,f,4.787491742782046
706131,Isolotto Legnaia,43.77048,11.21016,Entire home/apt,80.0,511,44,t,5.0,2.0,4.0,4.76,t,4.382026634673881
719790,Campo di Marte,43.79593,11.27576,Entire home/apt,90.0,172,17,f,4.0,1.0,2.0,4.8,f,4.499809670330265
720090,Campo di Marte,43.79036,11.27279,Entire home/apt,90.0,149,10,f,4.0,1.0,2.0,4.67,f,4.499809670330265
735370,Centro Storico,43.77669,11.26189,Entire home/apt,272.0,346,20,t,10.0,4.0,8.0,4.71,t,5.605802066295998
742048,Centro Storico,43.77414,11.2433,Private room,104.0,513,101,t,3.0,2.0,3.0,4.79,f,4.6443908991413725
744515,Centro Storico,43.76776,11.24238,Entire home/apt,251.0,333,11,f,4.0,2.0,4.0,4.75,f,5.5254529391317835
748041,Centro Storico,43.76961,11.25655,Entire home/apt,131.0,119,19,t,2.0,1.0,1.0,4.76,f,4.875197323201151
749149,Centro Storico,43.77826,11.23936,Entire home/apt,75.0,202,16,t,2.0,1.0,1.0,4.87,t,4.31748811353631
751241,Campo di Marte,43.78793,11.27063,Private room,45.0,480,39,f,3.0,1.0,2.0,4.62,t,3.8066624897703196
753719,Centro Storico,43.77763,11.25865,Entire home/apt,112.0,48,3,f,4.0,2.0,3.0,4.79,t,4.718498871295094
755095,Centro Storico,43.77329,11.26305,Entire home/apt,143.0,149,4,t,2.0,1.0,2.0,4.91,f,4.962844630259907
766781,Gavinana Galluzzo,43.76133,11.28401,Entire home/apt,107.0,165,6,t,4.0,2.0,2.0,4.84,f,4.672828834461906
769115,Centro Storico,43.7731,11.25701,Entire home/apt,140.0,596,29,t,4.0,2.0,3.0,4.84,f,4.941642422609304
771929,Centro Storico,43.77037,11.26103,Entire home/apt,195.0,61,2,f,4.0,1.0,3.0,4.84,f,5.272999558563747
783317,Centro Storico,43.77317,11.25898,Entire home/apt,203.0,310,1,t,2.0,1.0,1.0,4.84,t,5.313205979041787
784776,Centro Storico,43.78017,11.24449,Private room,85.0,287,0,f,2.0,1.0,1.0,4.83,f,4.442651256490317
789586,Campo di Marte,43.77611,11.27172,Entire home/apt,106.0,83,7,f,5.0,2.0,2.0,4.73,f,4.663439094112067
792117,Centro Storico,43.77945,11.25338,Private room,151.0,93,0,f,2.0,1.0,1.0,4.21,t,5.017279836814924
792963,Centro Storico,43.77749,11.25253,Private room,155.0,41,2,f,3.0,1.0,3.0,4.59,t,5.043425116919247
792968,Centro Storico,43.77465057373047,11.246854782104492,Entire home/apt,105.0,57,22,f,3.0,1.0,3.0,4.61,f,4.653960350157523
792969,Centro Storico,43.77953,11.25352,Private room,166.0,33,0,f,3.0,1.0,4.0,4.33,t,5.111987788356544
798291,Centro Storico,43.77861,11.24985,Entire home/apt,127.0,300,18,t,6.0,3.0,3.0,4.83,t,4.844187086458591
800948,Centro Storico,43.76615,11.25612,Entire home/apt,211.0,400,30,t,4.0,1.0,2.0,4.8,f,5.351858133476067
810417,Isolotto Legnaia,43.77599,11.22245,Entire home/apt,89.0,140,17,t,4.0,2.0,3.0,4.81,t,4.48863636973214
812001,Centro Storico,43.76811,11.24994,Entire home/apt,303.0,252,13,t,5.0,2.0,3.0,4.94,t,5.713732805509369
831111,Gavinana Galluzzo,43.7516,11.23968,Entire home/apt,120.0,1,0,f,2.0,1.0,2.0,1.0,f,4.787491742782046
851013,Centro Storico,43.77335,11.25991,Private room,50.0,132,46,f,2.0,1.0,1.0,4.65,f,3.912023005428146
862480,Centro Storico,43.77089,11.261,Entire home/apt,339.0,7,0,f,4.0,1.0,1.0,4.43,t,5.82600010738045
863369,Campo di Marte,43.76989,11.27657,Entire home/apt,84.0,309,22,f,6.0,2.0,3.0,4.83,f,4.430816798843313
868045,Centro Storico,43.76598,11.24532,Entire home/apt,250.0,182,0,,4.0,1.0,2.0,4.81,f,5.521460917862246
872780,Centro Storico,43.77482,11.25249,Entire home/apt,155.0,126,18,t,5.0,1.0,3.0,4.94,t,5.043425116919247
878671,Centro Storico,43.76838,11.25425,Entire home/apt,104.0,386,41,f,3.0,1.0,3.0,4.59,f,4.6443908991413725
881322,Centro Storico,43.77482,11.25249,Entire home/apt,162.0,172,22,t,4.0,1.0,2.0,4.95,t,5.087596335232384
881366,Centro Storico,43.77316,11.26546,Entire home/apt,360.0,68,14,t,5.0,3.0,3.0,4.96,f,5.886104031450156
881829,Centro Storico,43.7639,11.26209,Entire home/apt,120.0,154,12,t,3.0,1.0,1.0,4.81,f,4.787491742782046
886453,Centro Storico,43.76944,11.2552,Entire home/apt,472.0,151,20,t,9.0,4.0,10.0,4.73,t,6.156978985585555
887857,Centro Storico,43.77467,11.24327,Private room,89.0,406,31,,2.0,1.0,1.0,4.92,f,4.48863636973214
889153,Centro Storico,43.76927,11.26327,Entire home/apt,132.0,311,8,t,2.0,1.0,2.0,4.88,f,4.882801922586371
890248,Centro Storico,43.77175,11.25006,Entire home/apt,96.0,90,0,f,2.0,1.0,1.0,4.73,f,4.564348191467836
891034,Centro Storico,43.77429,11.24503,Private room,85.0,475,26,,2.0,1.0,1.0,4.93,f,4.442651256490317
892873,Centro Storico,43.76838,11.25807,Entire home/apt,418.0,19,19,t,8.0,4.0,4.0,4.95,t,6.035481432524756
892983,Centro Storico,43.76231,11.24135,Entire home/apt,80.0,39,0,f,4.0,1.0,2.0,4.74,f,4.382026634673881
